method,source,hits_at_k,precision_at_k
adamic_adar,862,1,0.1
adamic_adar,863,1,0.1
adamic_adar,865,7,0.7
adamic_adar,869,3,0.3
adamic_adar,870,6,0.6
adamic_adar,871,7,0.7
adamic_adar,872,2,0.2
adamic_adar,879,6,0.6
adamic_adar,882,1,0.1
adamic_adar,883,1,0.1
adamic_adar,885,3,0.3
adamic_adar,886,1,0.1
adamic_adar,895,2,0.2
adamic_adar,896,2,0.2
adamic_adar,898,1,0.1
adamic_adar,899,3,0.3
adamic_adar,900,2,0.2
adamic_adar,904,9,0.9
adamic_adar,908,2,0.2
adamic_adar,909,1,0.1
adamic_adar,911,5,0.5
adamic_adar,912,2,0.2
adamic_adar,913,2,0.2
adamic_adar,914,1,0.1
adamic_adar,918,5,0.5
adamic_adar,920,4,0.4
adamic_adar,921,1,0.1
adamic_adar,922,8,0.8
adamic_adar,926,2,0.2
adamic_adar,928,4,0.4
adamic_adar,933,2,0.2
adamic_adar,935,3,0.3
adamic_adar,937,7,0.7
adamic_adar,941,7,0.7
adamic_adar,943,5,0.5
adamic_adar,944,2,0.2
adamic_adar,946,5,0.5
adamic_adar,947,3,0.3
adamic_adar,948,3,0.3
adamic_adar,949,2,0.2
adamic_adar,950,1,0.1
adamic_adar,954,4,0.4
adamic_adar,956,5,0.5
adamic_adar,959,2,0.2
adamic_adar,960,4,0.4
adamic_adar,961,1,0.1
adamic_adar,962,1,0.1
adamic_adar,964,1,0.1
adamic_adar,967,2,0.2
adamic_adar,968,0,0.0
adamic_adar,969,1,0.1
adamic_adar,970,2,0.2
adamic_adar,971,9,0.9
adamic_adar,974,5,0.5
adamic_adar,975,2,0.2
adamic_adar,978,5,0.5
adamic_adar,981,3,0.3
adamic_adar,982,4,0.4
adamic_adar,984,1,0.1
adamic_adar,986,6,0.6
adamic_adar,987,1,0.1
adamic_adar,988,9,0.9
adamic_adar,993,9,0.9
adamic_adar,994,7,0.7
adamic_adar,996,4,0.4
adamic_adar,998,4,0.4
adamic_adar,999,1,0.1
adamic_adar,1000,2,0.2
adamic_adar,1003,2,0.2
adamic_adar,1004,3,0.3
adamic_adar,1005,2,0.2
adamic_adar,1006,3,0.3
adamic_adar,1008,1,0.1
adamic_adar,1009,3,0.3
adamic_adar,1010,1,0.1
adamic_adar,1011,1,0.1
adamic_adar,1012,2,0.2
adamic_adar,1013,3,0.3
adamic_adar,1022,1,0.1
adamic_adar,1023,2,0.2
adamic_adar,1024,3,0.3
adamic_adar,1027,3,0.3
adamic_adar,1028,1,0.1
adamic_adar,1029,7,0.7
adamic_adar,1031,5,0.5
adamic_adar,1032,5,0.5
adamic_adar,1034,7,0.7
adamic_adar,1035,3,0.3
adamic_adar,1037,4,0.4
adamic_adar,1038,2,0.2
adamic_adar,1041,7,0.7
adamic_adar,1042,3,0.3
adamic_adar,1043,3,0.3
adamic_adar,1044,2,0.2
adamic_adar,1046,6,0.6
adamic_adar,1050,3,0.3
adamic_adar,1051,5,0.5
adamic_adar,1052,1,0.1
adamic_adar,1055,4,0.4
adamic_adar,1060,1,0.1
adamic_adar,1062,6,0.6
adamic_adar,1063,3,0.3
adamic_adar,1064,1,0.1
adamic_adar,1065,1,0.1
adamic_adar,1066,2,0.2
adamic_adar,1074,7,0.7
adamic_adar,1075,7,0.7
adamic_adar,1078,2,0.2
adamic_adar,1080,2,0.2
adamic_adar,1082,1,0.1
adamic_adar,1083,1,0.1
adamic_adar,1084,1,0.1
adamic_adar,1085,1,0.1
adamic_adar,1086,1,0.1
adamic_adar,1089,2,0.2
adamic_adar,1095,1,0.1
adamic_adar,1097,6,0.6
adamic_adar,1098,6,0.6
adamic_adar,1103,1,0.1
adamic_adar,1111,8,0.8
adamic_adar,1113,3,0.3
adamic_adar,1114,6,0.6
adamic_adar,1124,5,0.5
adamic_adar,1125,7,0.7
adamic_adar,1126,1,0.1
adamic_adar,1127,6,0.6
adamic_adar,1128,3,0.3
adamic_adar,1129,6,0.6
adamic_adar,1132,4,0.4
adamic_adar,1133,4,0.4
adamic_adar,1134,1,0.1
adamic_adar,1135,6,0.6
adamic_adar,1137,6,0.6
adamic_adar,1138,2,0.2
adamic_adar,1139,1,0.1
adamic_adar,1142,6,0.6
adamic_adar,1143,2,0.2
adamic_adar,1144,3,0.3
adamic_adar,1145,1,0.1
adamic_adar,1151,5,0.5
adamic_adar,1156,2,0.2
adamic_adar,1159,1,0.1
adamic_adar,1160,5,0.5
adamic_adar,1164,3,0.3
adamic_adar,1165,3,0.3
adamic_adar,1166,7,0.7
adamic_adar,1167,6,0.6
adamic_adar,1168,1,0.1
adamic_adar,1169,2,0.2
adamic_adar,1179,1,0.1
adamic_adar,1182,2,0.2
adamic_adar,1183,1,0.1
adamic_adar,1184,4,0.4
adamic_adar,1185,4,0.4
adamic_adar,1187,1,0.1
adamic_adar,1188,1,0.1
adamic_adar,1190,1,0.1
adamic_adar,1193,4,0.4
adamic_adar,1196,2,0.2
adamic_adar,1199,1,0.1
